,width,height,channel
1001,768,1024,3
1002,1024,473,3
1003,1024,847,3
1004,300,300,3
1005,800,449,3
1006,1024,1024,3
1007,1024,768,3
1008,766,1024,3
1009,819,1024,3
1010,1024,768,3
1011,1024,768,3
1012,600,800,3
1013,1024,768,3
1014,1024,575,3
1015,1024,1024,3
1016,1024,473,3
1017,1024,768,3
1018,600,800,3
1019,1024,768,3
1020,1024,768,3
1021,1024,768,3
1022,1024,768,3
1023,1024,768,3
1024,974,1024,3
1025,1024,933,3
1026,1024,768,3
1027,765,1024,3
1028,1024,768,3
1029,800,800,3
1030,800,600,3
1031,600,800,3
1032,1024,1024,3
1033,1024,768,3
1034,1024,768,3
1035,1024,768,3
1036,1024,768,3
1037,1024,768,3
1038,800,369,3
1039,1024,768,3
1040,1024,768,3
1041,600,800,3
1042,1024,461,3
1043,800,652,3
1044,1024,768,3
1045,768,1024,3
1046,1024,768,3
1047,1024,768,3
1048,800,600,3
1049,768,1024,3
1050,800,600,3
1051,1024,1024,3
1052,1024,887,3
1053,1024,966,3
1054,800,600,3
1055,1024,1024,3
1056,768,1024,3
1057,1024,768,3
1058,1024,768,3
1059,768,1024,3
1060,768,1024,3
1061,640,480,3
1062,1024,768,3
1063,1024,768,3
1064,885,1024,3
1065,768,1024,3
1066,576,1024,3
1067,1024,785,3
1068,1024,768,3
1069,1024,768,3
1070,1024,768,3
1071,1024,576,3
1072,1024,768,3
1073,711,740,3
1074,1024,768,3
1075,1024,913,3
1076,633,480,3
1077,480,800,3
1078,1024,768,3
1079,576,1024,3
1080,1024,736,3
1081,1024,768,3
1082,1024,789,3
1083,1024,768,3
1084,456,800,3
1085,768,1024,3
1086,1024,768,3
1087,768,1024,3
1088,619,800,3
1089,1024,768,3
1090,768,1024,3
1091,1024,768,3
1092,768,1024,3
1093,1024,768,3
1094,765,1024,3
1095,800,600,3
1096,1024,768,3
1097,800,360,3
1098,1024,768,3
1099,1024,768,3
1100,1024,473,3
1101,689,800,3
1102,1024,768,3
1103,576,1024,3
1104,800,600,3
1105,800,600,3
1106,1024,768,3
1107,1024,1024,3
1108,600,800,3
1109,1024,815,3
1110,1024,995,3
1111,600,800,3
1112,1024,768,3
1113,768,1024,3
1114,800,600,3
1115,577,1024,3
1116,800,600,3
1117,709,1024,3
1118,768,1024,3
1119,1024,576,3
1120,1024,768,3
1121,1024,770,3
1122,768,1024,3
1123,576,1024,3
1124,1024,768,3
1125,1024,768,3
1126,1024,768,3
1127,1024,445,3
1128,1024,768,3
1129,1024,948,3
1130,768,1024,3
1131,800,600,3
1132,800,600,3
1133,1024,768,3
1134,1024,768,3
1135,1024,768,3
1136,768,1024,3
1137,800,373,3
1138,768,1024,3
1139,768,1024,3
1140,600,800,3
1141,768,1024,3
1142,1024,768,3
1143,1024,765,3
1144,1024,768,3
1145,576,1024,3
1146,1024,1024,3
1147,768,1024,3
1148,1024,768,3
1149,1024,768,3
1150,768,1024,3
1151,800,800,3
1152,600,800,3
1153,479,960,3
1154,928,1024,3
1155,840,630,3
1156,1024,768,3
1157,1024,768,3
1158,800,800,3
1159,600,800,3
1160,576,1024,3
1161,800,600,3
1162,1024,473,3
1163,768,1024,3
1164,1024,768,3
1165,768,1024,3
1166,800,598,3
1167,1024,768,3
1168,1024,768,3
1169,800,360,3
1170,1024,768,3
1171,768,1024,3
1172,1024,768,3
1173,1024,943,3
1174,768,1024,3
1175,640,480,3
1176,768,1024,3
1177,525,800,3
1178,1024,768,3
1179,854,1024,3
1180,1024,768,3
1181,766,1024,3
1182,1024,768,3
1183,1024,778,3
1184,1024,768,3
1185,1024,716,3
1186,1024,720,3
1187,1024,768,3
1188,1024,768,3
1189,1024,768,3
1190,498,1024,3
1191,768,1024,3
1192,800,599,3
1193,1024,768,3
1194,768,1024,3
1195,1024,768,3
1196,800,388,3
1197,498,1024,3
1198,1024,918,3
1199,800,600,3
1200,1024,768,3
1201,768,1024,3
1202,600,800,3
1203,1024,531,3
1204,600,800,3
1205,1024,518,3
1206,768,1024,3
1207,1024,877,3
1208,1024,715,3
1209,800,600,3
1210,450,800,3
1211,881,992,3
1212,768,1024,3
1213,800,360,3
1214,768,1024,3
1215,1024,768,3
1216,600,800,3
1217,1024,768,3
1218,1024,705,3
1219,800,600,3
1220,800,450,3
1221,1024,576,3
1222,1024,909,3
1223,800,360,3
1224,752,1024,3
1225,1024,768,3
1226,768,1024,3
1227,764,1024,3
1228,800,599,3
1229,1024,1024,3
1230,600,800,3
1231,600,600,3
1232,1022,1024,3
1233,960,768,3
1234,1024,768,3
1235,768,1024,3
1236,1024,807,3
1237,720,960,3
1238,800,388,3
1239,576,1024,3
1240,1024,914,3
1241,768,1024,3
1242,1024,768,3
1243,1024,843,3
1244,800,600,3
1245,1024,768,3
1246,1024,473,3
1247,768,1024,3
1248,562,952,3
1249,240,320,3
1250,1024,599,3
1251,1024,768,3
1252,1024,768,3
1253,1024,768,3
1254,360,800,3
1255,800,600,3
1256,1024,768,3
1257,1024,768,3
1258,766,1024,3
1259,576,1024,3
1260,1024,768,3
1261,800,600,3
1262,1024,1024,3
1263,768,1024,3
1264,1000,1000,3
1265,1024,768,3
1266,1024,768,3
1267,600,800,3
1268,1024,1024,3
1269,1024,711,3
1270,800,600,3
1271,768,1024,3
1272,836,631,3
1273,1024,1024,3
1274,768,1024,3
1275,1024,768,3
1276,800,600,3
1277,800,600,3
1278,1024,896,3
1279,1024,768,3
1280,800,600,3
1281,1024,768,3
1282,1024,473,3
1283,768,1024,3
1284,1024,768,3
1285,966,1024,3
1286,1024,768,3
1287,800,800,3
1288,1024,932,3
1289,1024,768,3
1290,800,600,3
1291,800,600,3
1292,768,1024,3
1293,498,1024,3
1294,1024,854,3
1295,1024,701,3
1296,461,1024,3
1297,1024,1024,3
1298,1024,768,3
1299,1024,768,3
1300,1024,768,3
1301,1024,768,3
1302,1024,768,3
1303,1024,994,3
1304,1024,768,3
1305,1024,768,3
1306,1024,1024,3
1307,768,1024,3
1308,399,1024,3
1309,709,945,3
1310,1024,475,3
1311,1024,768,3
1312,800,600,3
1313,671,1024,3
1314,800,600,3
1315,866,1024,3
1316,768,1024,3
1317,1024,768,3
1318,1024,768,3
1319,1024,736,3
1320,1024,768,3
1321,1024,768,3
1322,768,1024,3
1323,768,1024,3
1324,800,600,3
1325,768,1024,3
1326,800,360,3
1327,800,738,3
1328,768,1024,3
1329,1024,1024,3
1330,768,1024,3
1331,790,597,3
1332,1024,768,3
1333,800,600,3
1334,768,1024,3
1335,768,1024,3
1336,1024,830,3
1337,768,1024,3
1338,800,600,3
1339,1024,1024,3
1340,1024,878,3
1341,768,1024,3
1342,629,800,3
1343,640,480,3
1344,723,800,3
1345,800,600,3
1346,1024,768,3
1347,800,379,3
1348,800,600,3
1349,1024,591,3
1350,1024,652,3
1351,768,1024,3
1352,1024,768,3
1353,768,1024,3
1354,800,600,3
1355,1024,768,3
1356,1024,1024,3
1357,240,320,3
1358,700,700,3
1359,768,1024,3
1360,1024,768,3
1361,1024,768,3
1362,768,1024,3
1363,1024,768,3
1364,1024,1024,3
1365,1024,768,3
1366,681,800,3
1367,1024,768,3
1368,345,800,3
1369,1024,576,3
1370,1024,768,3
1371,800,600,3
1372,768,1024,3
1373,800,600,3
1374,800,388,3
1375,1024,768,3
1376,1024,768,3
1377,1024,768,3
1378,600,800,3
1379,1024,768,3
1380,1000,1000,3
1381,1024,768,3
1382,800,838,3
1383,768,1024,3
1384,800,800,3
1385,800,378,3
1386,1024,478,3
1387,1024,768,3
1388,1024,768,3
1389,600,800,3
1390,1024,768,3
1391,800,719,3
1392,1024,768,3
1393,768,1024,3
1394,600,800,3
1395,768,1024,3
1396,800,600,3
1397,1024,768,3
1398,542,959,3
1399,800,800,3
1400,1024,1024,3
1401,800,450,3
1402,768,1024,3
1403,1024,768,3
1404,1024,768,3
1405,480,640,3
1406,600,800,3
1407,1024,565,3
1408,1024,768,3
1409,960,833,3
1410,698,1024,3
1411,550,412,3
1412,900,1024,3
1413,800,450,3
1414,768,1024,3
1415,1024,768,3
1416,768,1024,3
1417,768,1024,3
1418,1024,781,3
1419,768,1024,3
1420,583,800,3
1421,1024,682,3
1422,768,1024,3
1423,1024,562,3
1424,768,1024,3
1425,787,1024,3
1426,661,574,3
1427,1024,473,3
1428,1024,473,3
1429,1024,768,3
1430,800,600,3
1431,1024,768,3
1432,800,293,3
1433,960,720,3
1434,960,960,3
1435,768,1024,3
1436,1024,768,3
1437,457,800,3
1438,1024,1024,3
1439,800,600,3
1440,1024,768,3
1441,576,1024,3
1442,800,449,3
1443,1024,575,3
1444,800,450,3
1445,631,800,3
1446,1024,768,3
1447,1024,768,3
1448,800,600,3
1449,697,827,3
1450,800,600,3
1451,800,600,3
1452,1024,768,3
1453,1024,473,3
1454,768,725,3
1455,1024,768,3
1456,478,640,3
1457,1024,768,3
1458,768,1024,3
1459,768,1024,3
1460,576,1024,3
1461,388,800,3
1462,768,1024,3
1463,800,562,3
1464,768,1024,3
1465,1024,768,3
1466,1024,576,3
1467,768,1024,3
1468,521,1024,3
1469,768,1024,3
1470,1024,774,3
1471,1024,768,3
1472,1024,768,3
1473,600,800,3
1474,1024,768,3
1475,1024,768,3
1476,901,1024,3
1477,768,1024,3
1478,800,600,3
1479,800,360,3
1480,1024,1024,3
1481,1024,1024,3
1482,768,1024,3
1483,1024,768,3
1484,1024,768,3
1485,1024,768,3
1486,800,600,3
1487,773,800,3
1488,800,378,3
1489,1024,768,3
1490,684,1024,3
1491,1024,768,3
1492,1024,576,3
1493,800,600,3
1494,1024,768,3
1495,761,1024,3
1496,710,1024,3
1497,563,611,3
1498,768,1024,3
1499,800,600,3
1500,1024,768,3
1501,1024,768,3
1502,768,1024,3
1503,1024,576,3
1504,1024,768,3
1505,1024,794,3
1506,600,800,3
1507,1024,768,3
1508,600,800,3
1509,768,1024,3
1510,768,1024,3
1511,288,480,3
1512,461,1024,3
1513,768,1024,3
1514,600,800,3
1515,1024,768,3
1516,768,1024,3
1517,1024,768,3
1518,1024,768,3
1519,1024,765,3
1520,1024,768,3
1521,1024,768,3
1522,542,830,3
1523,1024,473,3
1524,800,600,3
1525,768,1024,3
1526,465,800,3
1527,768,1024,3
1528,800,600,3
1529,1024,768,3
1530,800,600,3
1531,724,1024,3
1532,800,360,3
